id;date;assigned_by;assigned_on;created_on;dak_status;status;last_modified;last_modified_by
1;2022-04-19T15:10:31;primary;2022-04-19T22:18:02;2022-04-20T04:08:09;HEARING_AWAITED;true;2022-04-19T19:20:50;reboot
2;2022-04-19T18:08:23;moderator;2022-04-20T02:28:09;2022-04-19T15:57:45;PENDING;true;2022-04-19T19:48:54;real-time
3;2022-04-20T01:26:08;Phased Soap Persistent;2022-04-20T03:18:01;2022-04-20T02:27:53;UPDATED;true;2022-04-20T08:24:40;wireless Outdoors Wooden
4;2022-04-20T06:19:14;violet;2022-04-20T09:30:51;2022-04-19T20:44:04;AWAITED;true;2022-04-19T16:18:38;explicit streamline Chips
5;2022-04-20T00:35:26;mobile;2022-04-20T11:50:29;2022-04-19T22:12:23;CLEARED;false;2022-04-19T17:57:35;Incredible Liaison Applications
6;2022-04-20T11:53:22;Berkshire Refined;2022-04-19T23:18:44;2022-04-20T03:47:15;PENDING;true;2022-04-19T18:13:10;synergistic bypass Identity
7;2022-04-19T14:38:34;Shoes;2022-04-20T03:01:24;2022-04-19T17:53:06;HEARING_COMPLETED;false;2022-04-19T19:53:41;South Georgia Nigeria
8;2022-04-19T18:39:45;optimize migration;2022-04-20T01:11:15;2022-04-20T06:32:27;ASSIGNED;false;2022-04-20T02:46:11;orange
9;2022-04-19T13:39:46;Dominican niches Home;2022-04-19T12:29:24;2022-04-19T23:23:34;CLEARED;false;2022-04-19T13:34:42;firewall Montana
10;2022-04-20T01:18:03;Berkshire haptic ivory;2022-04-19T23:34:11;2022-04-19T21:31:02;AWAITED;false;2022-04-20T10:33:26;Guilder
