id;assigned_on;updated_on;dak_status;status;dak_assigned_by;dak_assigned_to;last_modified;last_modified_by
1;2022-04-19T20:48:43;2022-04-19T22:08:46;UPDATED;false;Palau Wooden client-server;firewall PNG transition;2022-04-19T19:11:55;Mississippi
2;2022-04-20T09:22:08;2022-04-20T11:55:36;HEARING_AWAITED;false;Berkshire;Vanuatu;2022-04-20T02:45:26;platforms
3;2022-04-20T05:03:43;2022-04-19T20:00:22;CREATED;true;Forks tangible;leading Avon Personal;2022-04-19T13:42:23;black Dinar
4;2022-04-19T12:37:31;2022-04-19T13:10:36;AWAITED_FOR_ORDER;false;solution;bluetooth;2022-04-20T04:00:13;azure SCSI Rustic
5;2022-04-19T18:04:21;2022-04-20T12:15:32;CREATED;true;Global bypassing service-desk;niches;2022-04-20T12:18:38;Account
6;2022-04-19T15:15:20;2022-04-19T14:16:47;UPDATED;false;generating;index Fresh;2022-04-19T15:39:32;Visionary Shoes back-end
7;2022-04-20T10:47:39;2022-04-20T03:12:10;PENDING;false;indexing parse;purple seize back-end;2022-04-19T17:21:17;Dinar disintermediate
8;2022-04-20T02:06:13;2022-04-19T22:31:33;AWAITED;true;Account productivity Seamless;Squares Brand;2022-04-20T00:25:34;hacking Bedfordshire Senior
9;2022-04-19T15:16:05;2022-04-19T15:06:46;AWAITED;true;invoice teal;Shoes brand;2022-04-20T06:30:12;Concrete
10;2022-04-20T00:09:47;2022-04-19T22:56:29;CREATED;false;American;Card;2022-04-19T20:41:56;monetize
