id;register_type;initial_pendings;current_week_inwards;total;self_generated;current_week_cleared;weekly_pendings;first_week;second_week;third_week;first_month;second_month;third_month;within_six_months;date;last_modified;last_modified_by
1;WORK_DESCRIPTION;37506;14201;76545;85052;93384;90042;32243;79025;73757;14328;65996;10356;55776;2022-04-20T00:35:09;2022-04-19T14:35:39;synergies turquoise synergy
2;WORK_DESCRIPTION;1810;15560;69624;63306;71788;52926;35027;10197;17790;89611;38460;43489;48423;2022-04-19T19:19:58;2022-04-20T10:37:15;Specialist synergies Cedi
3;AWAITED_REGISTER;30632;29594;92949;75070;93587;31695;39966;89070;68493;11590;97769;7272;56356;2022-04-20T11:59:18;2022-04-20T06:17:18;Orchestrator
4;WORK_DESCRIPTION;28144;56390;5173;42394;76878;35246;96812;61264;27229;28928;12719;80002;58553;2022-04-20T03:31:02;2022-04-19T19:32:57;Chair
5;AWAITED_REGISTER;87971;11080;61827;32011;43362;4818;84869;28094;31266;88006;50972;74734;85575;2022-04-19T17:32:33;2022-04-20T10:03:47;capability quantifying deposit
6;WORK_DESCRIPTION;95086;38907;43837;98839;45415;44852;52069;40198;90110;10532;78808;40320;87916;2022-04-20T11:21:35;2022-04-19T22:41:03;turquoise
7;WORK_DESCRIPTION;79620;11058;82904;5782;84214;77174;45850;8606;39681;78247;44295;30362;37715;2022-04-20T00:22:50;2022-04-20T03:32:34;attitude Mouse
8;AWAITED_REGISTER;39135;97549;86644;17390;84632;48232;78775;84974;46749;4487;84389;47029;78473;2022-04-20T11:43:57;2022-04-19T23:28:41;Handmade Fuerte Secured
9;WORK_DESCRIPTION;88530;12237;28236;84098;73586;84752;60934;65729;95833;79640;14367;82338;33728;2022-04-19T20:03:55;2022-04-19T21:07:04;Analyst Fantastic
10;WORK_DESCRIPTION;81567;59869;67508;8769;3898;88697;333;4117;60951;78212;21039;45094;47930;2022-04-19T21:33:36;2022-04-20T08:29:15;Idaho
