id;organization_name;address;created_on;description;is_activate;orgnization_type;last_modified;last_modified_by
1;Intelligent open-source Kentucky;orchid Bosnia CSS;bandwidth Bacon;circuit;true;AR;2022-04-20T01:49:28;Kenya Quality-focused bus
2;Implementation multimedia;global;Customer web-readiness;Computer;true;AR;2022-04-19T16:34:32;cross-platform
3;Nauru Franc Mountains;People's;1080p;Parkway;false;AR;2022-04-20T06:35:17;programming
4;Dynamic grey incubate;cross-platform;Chicken Rustic;bandwidth Forward blue;false;AR;2022-04-19T15:27:30;systems
5;Creative bypass 1080p;Mouse Guatemala;Fish North;Multi-channelled Lanka Incredible;false;AR;2022-04-19T12:29:38;Representative driver Car
6;Program Rustic driver;Facilitator Legacy;Planner experiences;Brand Bedfordshire Assistant;false;AR;2022-04-19T18:14:56;ivory reinvent toolset
7;Idaho Reverse-engineered;withdrawal to Product;Generic National;Functionality back-end seize;true;DDR;2022-04-19T22:15:16;Integration quantifying Configuration
8;pink Soft contextually-based;withdrawal online Steel;Buckinghamshire up encompassing;embrace Unbranded Granite;true;DDR;2022-04-19T13:56:35;Regional
9;Peso;Account;deposit Dollar Technician;known Baby;true;AR;2022-04-20T07:25:41;bus
10;withdrawal transmitting;Cambridgeshire Account ROI;Rue Mayen Wooden;blue Organized;false;AR;2022-04-19T15:43:47;alarm Ball metrics
