id;permission_name;description;last_modified;last_modified_by
1;Chips Product;Grocery empower;2022-04-19T21:04:34;Berkshire
2;backing Plastic Associate;payment;2022-04-19T16:20:37;Guarani
3;payment Steel Re-engineered;generate back Pants;2022-04-20T06:33:38;Cambridgeshire Carolina
4;invoice;Health;2022-04-19T19:41:28;Computer Legacy
5;Stravenue transmitter e-commerce;Fish optimize streamline;2022-04-20T03:12:54;pink Dollar syndicate
6;silver payment;digital Executive;2022-04-20T04:17:38;Business-focused Michigan
7;Streets Web;Investment;2022-04-20T08:31:17;Avon Shirt Fresh
8;Ergonomic Rhode Crest;Granite;2022-04-20T07:41:45;RAM programming pixel
9;Illinois Implemented;Computers Manager;2022-04-20T07:08:33;Louisiana
10;Automotive;Sports Concrete;2022-04-19T21:02:46;Producer 24/7 California
